site,Survey,depth,observer,transect,common_name,sizeclass,count,fish_spp,common_family,latin_family,foodweb,biomass,density
Ghost_Mountain,4,150,GGG,3,bicolor_damselfish,5,2,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,3.757490426,0.033333333
Ghost_Mountain,4,150,GGG,3,yellowtail_snapper,30,1,Ocyurus_chrysurus,snapper,Lutjanidae,Macrocarnivore,389.9332923,0.016666667
Ghost_Mountain,4,150,GGG,3,foureye_butterflyfish,10,2,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,72.48461777,0.033333333
Ghost_Mountain,4,150,GGG,3,squirrelfish,30,2,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,768.1256478,0.033333333
Ghost_Mountain,4,150,GGG,3,creole_wrasse,5,6,Clepticus_parrae,wrasse,Labridae,Omnivore,8.016642841,0.1
Ghost_Mountain,4,150,GGG,3,tobaccofish,10,1,Serranus_tabacarius,seabasses,Serranidae,Invertivore,12.30248536,0.016666667
Ghost_Mountain,4,150,GGG,3,redband_parrotfish_initial,5,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,1.861835794,0.016666667
Ghost_Mountain,4,150,GGG,4,french_angelfish,30,2,Pomacanthus_paru,angelfish,Pomacanthidae,Omnivore,2309.430992,0.033333333
Ghost_Mountain,4,150,GGG,4,squirrelfish,30,3,Holocentrus_adscensionis,squirrelfish,Holocentridae,Invertivore,1152.188472,0.05
Ghost_Mountain,4,150,GGG,4,sunshinefish,5,25,Chromis_insolata,damselfish,Pomacentridae,Planktivore,41.28999706,0.416666667
Ghost_Mountain,4,150,GGG,4,sunshinefish,10,7,Chromis_insolata,damselfish,Pomacentridae,Planktivore,94.43299637,0.116666667
Ghost_Mountain,4,150,GGG,4,blackcap_basslet,5,12,Gramma_melacara,basslet,Grammatidae,Omnivore,7.078109238,0.2
Ghost_Mountain,4,150,GGG,4,blackcap_basslet,10,7,Gramma_melacara,basslet,Grammatidae,Omnivore,35.89613099,0.116666667
Ghost_Mountain,4,150,GGG,4,blue_chromis,5,1,Chromis_cyanea,chromis,Pomacentridae,Planktivore,1.819233677,0.016666667
Ghost_Mountain,4,150,GGG,4,blue_chromis,10,4,Chromis_cyanea,chromis,Pomacentridae,Planktivore,57.81335399,0.066666667
Ghost_Mountain,4,150,GGG,4,blue_chromis,20,1,Chromis_cyanea,chromis,Pomacentridae,Planktivore,114.828016,0.016666667
Ghost_Mountain,4,150,GGG,4,graysby,20,1,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,122.3477457,0.016666667
Ghost_Mountain,4,150,GGG,4,yellowhead_wrasse,5,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,1.565906452,0.016666667
Ghost_Mountain,4,150,GGG,4,yellowhead_wrasse,10,5,Halochoeres_garnoti,wrasse,Labridae,Invertivore,69.01921323,0.083333333
Ghost_Mountain,4,150,GGG,4,yellowhead_wrasse,20,3,Halochoeres_garnoti,wrasse,Labridae,Invertivore,365.0525959,0.05
Ghost_Mountain,4,150,GGG,4,striped_parrotfish_initial,10,1,Scarus_iseri,parrotfish,Scaridae,Herbivore,16.54463106,0.016666667
Ghost_Mountain,4,150,GGG,4,bicolor_damselfish,5,1,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,1.878745213,0.016666667
Ghost_Mountain,4,150,GGG,4,bicolor_damselfish,10,2,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,30.26900671,0.033333333
Ghost_Mountain,4,150,GGG,4,redband_parrotfish_initial,10,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,16.52668927,0.016666667
Ghost_Mountain,4,150,GGG,4,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,146.7000791,0.016666667
Ghost_Mountain,4,150,GGG,4,princess_parrotfish_initial,10,4,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,63.3910821,0.066666667
Ghost_Mountain,4,150,GGG,4,princess_parrotfish_initial,20,5,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,647.2306348,0.083333333
Ghost_Mountain,4,150,GGG,4,foureye_butterflyfish,10,1,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,36.24230888,0.016666667
Ghost_Mountain,4,150,GGG,5,bicolor_damselfish,5,3,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,5.636235639,0.05
Ghost_Mountain,4,150,GGG,5,bicolor_damselfish,10,2,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,30.26900671,0.033333333
Ghost_Mountain,4,150,GGG,5,blackcap_basslet,5,48,Gramma_melacara,basslet,Grammatidae,Omnivore,28.31243695,0.8
Ghost_Mountain,4,150,GGG,5,blackcap_basslet,10,12,Gramma_melacara,basslet,Grammatidae,Omnivore,61.53622456,0.2
Ghost_Mountain,4,150,GGG,5,sunshinefish,5,10,Chromis_insolata,damselfish,Pomacentridae,Planktivore,16.51599882,0.166666667
Ghost_Mountain,4,150,GGG,5,sunshinefish,10,10,Chromis_insolata,damselfish,Pomacentridae,Planktivore,134.9042805,0.166666667
Ghost_Mountain,4,150,GGG,5,blue_chromis,5,1,Chromis_cyanea,chromis,Pomacentridae,Planktivore,1.819233677,0.016666667
Ghost_Mountain,4,150,GGG,5,blue_chromis,10,7,Chromis_cyanea,chromis,Pomacentridae,Planktivore,101.1733695,0.116666667
Ghost_Mountain,4,150,GGG,5,blue_chromis,20,1,Chromis_cyanea,chromis,Pomacentridae,Planktivore,114.828016,0.016666667
Ghost_Mountain,4,150,GGG,5,fairy_basslet,5,1,Gramma_loreto,basslet,Grammatidae,Omnivore,1.495759156,0.016666667
Ghost_Mountain,4,150,GGG,5,queen_angelfish,20,1,Holocanthus_ciliaris,angelfish,Pomacanthidae,Invertivore,184.8951708,0.016666667
Ghost_Mountain,4,150,GGG,5,yellowhead_wrasse,5,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,1.565906452,0.016666667
Ghost_Mountain,4,150,GGG,5,yellowhead_wrasse,10,3,Halochoeres_garnoti,wrasse,Labridae,Invertivore,41.41152794,0.05
Ghost_Mountain,4,150,GGG,5,yellowhead_wrasse,20,1,Halochoeres_garnoti,wrasse,Labridae,Invertivore,121.6841986,0.016666667
Ghost_Mountain,4,150,GGG,5,sharpnose_puffer,10,1,Canthigaster_rostrata,puffer,Tetraodontidae,Omnivore,24.54375396,0.016666667
Ghost_Mountain,4,150,GGG,5,foureye_butterflyfish,10,1,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,36.24230888,0.016666667
Ghost_Mountain,4,150,GGG,5,redband_parrotfish_initial,20,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,146.7000791,0.016666667
Ghost_Mountain,4,150,GGG,5,redband_parrotfish_terminal,20,3,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,440.1002374,0.05
Ghost_Mountain,4,150,GGG,5,schoolmaster_snapper,30,1,Lutjanus_apodus,snapper,Lutjanidae,Macrocarnivore,491.4,0.016666667
Ghost_Mountain,4,150,GGG,5,yellow_goatfish,20,1,Mulloidichthys_martinicus,goatfish,Mullidae,Invertivore,129.5311534,0.016666667
Ghost_Mountain,4,150,GGG,5,princess_parrotfish_initial,10,2,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,31.69554105,0.033333333
Ghost_Mountain,4,150,GGG,5,princess_parrotfish_initial,20,3,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,388.3383809,0.05
Ghost_Mountain,4,150,GGG,5,princess_parrotfish_initial,30,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,442.2273269,0.016666667
Ghost_Mountain,4,150,GGG,5,princess_parrotfish_terminal,30,1,Scarus_taeniopterus,parrotfish,Scaridae,Herbivore,442.2273269,0.016666667
Ghost_Mountain,4,150,GGG,5,nassau_grouper,40,1,Epinephelus_striatus,grouper,Serranidae,Macrocarnivore,1050.874769,0.016666667
Ghost_Mountain,4,150,GGG,3,nassau_grouper,10,0,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0,0
La_Mesa,1,153,ADC,1,nassau_grouper,10,0,Cephalopholis_cruentata,grouper,Serranidae,Macrocarnivore,0,0
